mode,case_id,case_family,expected_capability,actual_capability,route_correct,raw_capability,raw_route_correct,expected_trigger,actual_trigger,trigger_correct,latency_ms,route_source,decision_source,fallback,guard_applied
rule_only,1,registered_action,e2_mac_control,e2_mac_control,True,e2_mac_control,True,False,False,True,0.020308,rule,rule,False,False
rule_only,2,registered_action,e2_mac_control,e2_mac_control,True,e2_mac_control,True,True,True,True,0.013986,rule,rule,False,False
rule_only,3,registered_action,e2_mac_control,e2_mac_control,True,e2_mac_control,True,False,False,True,0.013526,rule,rule,False,False
rule_only,4,registered_action,e2_mac_control,e2_mac_control,True,e2_mac_control,True,True,True,True,0.013776,rule,rule,False,False
rule_only,5,registered_action,e2_mac_control,e2_mac_control,True,e2_mac_control,True,False,False,True,0.013405,rule,rule,False,False
rule_only,6,registered_action,e2_mac_control,e2_mac_control,True,e2_mac_control,True,True,True,True,0.013856,rule,rule,False,False
rule_only,7,registered_action,e2_mac_control,e2_mac_control,True,e2_mac_control,True,False,False,True,0.013696,rule,rule,False,False
rule_only,8,registered_action,e2_mac_control,e2_mac_control,True,e2_mac_control,True,True,True,True,0.014097,rule,rule,False,False
rule_only,9,registered_action,e2_mac_control,e2_mac_control,True,e2_mac_control,True,False,False,True,0.013576,rule,rule,False,False
rule_only,10,registered_action,e2_mac_control,e2_mac_control,True,e2_mac_control,True,True,True,True,0.020229,rule,rule,False,False
rule_only,11,registered_action,kpi_reporting,kpi_reporting,True,kpi_reporting,True,False,False,True,0.013295,rule,rule,False,False
rule_only,12,registered_action,kpi_reporting,kpi_reporting,True,kpi_reporting,True,True,True,True,0.012483,rule,rule,False,False
rule_only,13,registered_action,kpi_reporting,kpi_reporting,True,kpi_reporting,True,False,False,True,0.013125,rule,rule,False,False
rule_only,14,registered_action,kpi_reporting,kpi_reporting,True,kpi_reporting,True,True,True,True,0.012744,rule,rule,False,False
rule_only,15,registered_action,kpi_reporting,kpi_reporting,True,kpi_reporting,True,False,False,True,0.136788,rule,rule,False,False
rule_only,16,registered_action,kpi_reporting,kpi_reporting,True,kpi_reporting,True,True,True,True,0.012904,rule,rule,False,False
rule_only,17,registered_action,kpi_reporting,kpi_reporting,True,kpi_reporting,True,False,False,True,0.012433,rule,rule,False,False
rule_only,18,registered_action,kpi_reporting,kpi_reporting,True,kpi_reporting,True,True,True,True,0.013034,rule,rule,False,False
rule_only,19,registered_action,kpi_reporting,kpi_reporting,True,kpi_reporting,True,False,False,True,0.012243,rule,rule,False,False
rule_only,20,registered_action,kpi_reporting,kpi_reporting,True,kpi_reporting,True,True,True,True,0.012033,rule,rule,False,False
rule_only,21,registered_action,slice_optimization,slice_optimization,True,slice_optimization,True,False,False,True,0.012613,rule,rule,False,False
rule_only,22,registered_action,slice_optimization,slice_optimization,True,slice_optimization,True,True,True,True,0.012273,rule,rule,False,False
rule_only,23,registered_action,slice_optimization,slice_optimization,True,slice_optimization,True,False,False,True,0.012253,rule,rule,False,False
rule_only,24,registered_action,slice_optimization,slice_optimization,True,slice_optimization,True,True,True,True,0.012082,rule,rule,False,False
rule_only,25,registered_action,slice_optimization,slice_optimization,True,slice_optimization,True,False,False,True,0.012854,rule,rule,False,False
rule_only,26,registered_action,slice_optimization,slice_optimization,True,slice_optimization,True,True,True,True,0.012724,rule,rule,False,False
rule_only,27,registered_action,slice_optimization,slice_optimization,True,slice_optimization,True,False,False,True,0.012604,rule,rule,False,False
rule_only,28,registered_action,slice_optimization,slice_optimization,True,slice_optimization,True,True,True,True,0.012203,rule,rule,False,False
rule_only,29,registered_action,slice_optimization,slice_optimization,True,slice_optimization,True,False,False,True,0.012223,rule,rule,False,False
rule_only,30,registered_action,slice_optimization,slice_optimization,True,slice_optimization,True,True,True,True,0.012102,rule,rule,False,False
rule_only,31,open_vocabulary_holdout,e2_mac_control,,False,,False,False,False,True,0.025729,rule,rule,False,False
rule_only,32,open_vocabulary_holdout,e2_mac_control,,False,,False,True,True,True,0.018004,rule,rule,False,False
rule_only,33,open_vocabulary_holdout,e2_mac_control,,False,,False,False,False,True,0.017253,rule,rule,False,False
rule_only,34,open_vocabulary_holdout,e2_mac_control,,False,,False,True,True,True,0.018144,rule,rule,False,False
rule_only,35,open_vocabulary_holdout,e2_mac_control,,False,,False,False,False,True,0.017693,rule,rule,False,False
rule_only,36,open_vocabulary_holdout,e2_mac_control,,False,,False,True,True,True,0.017723,rule,rule,False,False
rule_only,37,open_vocabulary_holdout,e2_mac_control,,False,,False,False,False,True,0.017833,rule,rule,False,False
rule_only,38,open_vocabulary_holdout,e2_mac_control,,False,,False,True,True,True,0.017814,rule,rule,False,False
rule_only,39,open_vocabulary_holdout,e2_mac_control,,False,,False,False,False,True,0.019216,rule,rule,False,False
rule_only,40,open_vocabulary_holdout,e2_mac_control,,False,,False,True,True,True,0.017984,rule,rule,False,False
rule_only,41,open_vocabulary_holdout,kpi_reporting,,False,,False,False,False,True,0.017724,rule,rule,False,False
rule_only,42,open_vocabulary_holdout,kpi_reporting,,False,,False,True,True,True,0.018205,rule,rule,False,False
rule_only,43,open_vocabulary_holdout,kpi_reporting,,False,,False,False,False,True,0.017333,rule,rule,False,False
rule_only,44,open_vocabulary_holdout,kpi_reporting,,False,,False,True,True,True,0.017353,rule,rule,False,False
rule_only,45,open_vocabulary_holdout,kpi_reporting,,False,,False,False,False,True,0.017313,rule,rule,False,False
rule_only,46,open_vocabulary_holdout,kpi_reporting,,False,,False,True,True,True,0.017563,rule,rule,False,False
rule_only,47,open_vocabulary_holdout,kpi_reporting,,False,,False,False,False,True,0.017252,rule,rule,False,False
rule_only,48,open_vocabulary_holdout,kpi_reporting,,False,,False,True,True,True,0.016822,rule,rule,False,False
rule_only,49,open_vocabulary_holdout,kpi_reporting,,False,,False,False,False,True,0.017012,rule,rule,False,False
